duplicate_group_id,document_id,duplicate_type,compared_document_id,sha256_match,recommended_action,notes
EXACT-0005333ee0a6,GDL-0fee367e8563,exact_duplicate,GDL-0fee367e8563,True,논리 버전 하나로 연결하고 출처 발생 경로 보존,sources/raw/guidelines/sources/university_guidelines/current/의왕생활관/GUIDE-28D123720567_의왕생활관 관생선발지침/관생선발지침(2020.03.04.개정).hwp
EXACT-0005333ee0a6,GDL-0fee367e8563,exact_duplicate,GDL-0fee367e8563,True,논리 버전 하나로 연결하고 출처 발생 경로 보존,sources/raw/guidelines/sources/university_guidelines/archive/GUIDE-28D123720567/versions/2020-03-04_1036852/full_text/관생선발지침(2020.03.04.개정).hwp
EXACT-0058e61d56df,GDL-343e3affdf72,exact_duplicate,GDL-343e3affdf72,True,논리 버전 하나로 연결하고 출처 발생 경로 보존,sources/raw/guidelines/sources/university_guidelines/archive/GUIDE-7E539D053E6C/versions/2024-06-14_1070722/full_text/국립한국교통대학교 교양교육과정 편성지침(2024.6.14. 지침 제555호).hwp
EXACT-01e88007a343,GDL-90f9dfe2a532,exact_duplicate,GDL-90f9dfe2a532,True,논리 버전 하나로 연결하고 출처 발생 경로 보존,sources/raw/guidelines/sources/university_guidelines/archive/GUIDE-94522F6E00DC/versions/2021-06-04_1042854/full_text/한국교통대학교 연구소 설립 운영에 관한 지침.hwp
EXACT-027c02c7d973,GDL-d795ba5c8eb7,exact_duplicate,GDL-d795ba5c8eb7,True,논리 버전 하나로 연결하고 출처 발생 경로 보존,sources/raw/guidelines/sources/university_guidelines/archive/GUIDE-0569F1E586C1/versions/2020-12-14_1037928/amendment_reason/개정사유 및 신ㆍ구조문 대비표.hwp
EXACT-027d4ed6214d,GDL-3acb1286400e,exact_duplicate,GDL-3acb1286400e,True,논리 버전 하나로 연결하고 출처 발생 경로 보존,sources/raw/guidelines/sources/university_guidelines/current/학생상담센터/GUIDE-409D5D8D3740_학생상담센터 객원 상담원 운영 지침 알림/붙임. 한국교통대학교 학생상담센터 객원 상담원 운영 지침.hwp
EXACT-027d4ed6214d,GDL-3acb1286400e,exact_duplicate,GDL-3acb1286400e,True,논리 버전 하나로 연결하고 출처 발생 경로 보존,sources/raw/guidelines/sources/university_guidelines/archive/GUIDE-409D5D8D3740/versions/2023-06-10_1061471/full_text/붙임. 한국교통대학교 학생상담센터 객원 상담원 운영 지침.hwp
EXACT-0306e2f81649,GDL-cb5f0811e328,exact_duplicate,GDL-cb5f0811e328,True,논리 버전 하나로 연결하고 출처 발생 경로 보존,sources/raw/guidelines/sources/university_guidelines/current/IR센터/GUIDE-4FA02A67E125_IR센터 운영 지침/국립한국교통대학교 IR센터 운영지침.hwp
EXACT-0306e2f81649,GDL-cb5f0811e328,exact_duplicate,GDL-cb5f0811e328,True,논리 버전 하나로 연결하고 출처 발생 경로 보존,sources/raw/guidelines/sources/university_guidelines/archive/GUIDE-4FA02A67E125/versions/2025-06-18_1080183/full_text/국립한국교통대학교 IR센터 운영지침.hwp
EXACT-032cdee1dbb9,GDL-7c4d8ed7f6bf,exact_duplicate,GDL-7c4d8ed7f6bf,True,논리 버전 하나로 연결하고 출처 발생 경로 보존,sources/raw/guidelines/sources/university_guidelines/current/생활관/GUIDE-521DDD11C144_생활관 통합 운영 및 안전관리 지침/한국교통대학교 생활관 통합 운영 및 안전관리 지침.hwp
